"year","year_type","date","repro_stage","squirrel_id","sex","grid","locx_feed","locy_feed","detail","food_type","locx_census","locy_census","locx_census_numeric","locx_feed_numeric","buffer_radius","midden_radius","distance_to_midden","within_territory","within_midden","food_group","midden_status","year.y","mushroom_index_previous","cone_index_previous","mushroom_index_previous_scaled","cone_index_previous_scaled"
2013,"non-mast","2013-03-20","mating",10531,"M","KL","6.1",6.6,4,"capital","F.0",6.5,6,6.1,1.73333333333333,0.333333333333333,4.24264068711927,TRUE,TRUE,"mushroom/truffle",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-03-20","mating",12445,"M","KL","8.8",6.2,3,"income","I.2",4.9,9.2,8.8,1.73333333333333,0.333333333333333,40.8044115262063,TRUE,FALSE,"spruce_bud",0,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-03-20","mating",13048,"M","KL","3.0",2.5,2,"capital","C.0",2.5,3,3,1.73333333333333,0.333333333333333,0,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-03-20","mating",13048,"M","KL","3.0",2.5,2,"capital","C.0",2.5,3,3,1.73333333333333,0.333333333333333,0,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-03-23","mating",10531,"M","KL","6.0",6.4,2,"capital","F.0",6.5,6,6,1.73333333333333,0.333333333333333,2.99999999999999,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-03-24","mating",11460,"M","KL","8.7",3.4,2,"capital","H.7",3.4,8.7,8.7,1.73333333333333,0.333333333333333,0,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-03-23","mating",11460,"M","KL","8.7",3.4,4,"capital","H.7",3.4,8.7,8.7,1.73333333333333,0.333333333333333,0,TRUE,TRUE,"mushroom/truffle",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-03-23","mating",11460,"M","KL","8.7",3.4,2,"capital","H.7",3.4,8.7,8.7,1.73333333333333,0.333333333333333,0,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-03-24","mating",11945,"M","KL","14.0",1.4,2,"capital","N.1",1.3,14.1,14,1.73333333333333,0.333333333333333,4.24264068711928,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-03-24","mating",12236,"M","KL","4.7",10.9,4,"capital","D.9",10.9,4.9,4.7,1.73333333333333,0.333333333333333,6,TRUE,TRUE,"mushroom/truffle",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-03-23","mating",12236,"M","KL","4.8",10.9,4,"capital","D.9",10.9,4.9,4.8,1.73333333333333,0.333333333333333,3.00000000000002,TRUE,TRUE,"mushroom/truffle",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-03-22","mating",12363,"M","KL","7.9",14.9,2,"capital","H.0",15,8,7.9,1.73333333333333,0.333333333333333,4.24264068711927,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-03-24","mating",12363,"M","KL","7.8",14.9,2,"capital","H.0",15,8,7.8,1.73333333333333,0.333333333333333,6.70820393249937,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-03-23","mating",12364,"M","KL","10.1",11.3,2,"capital","J.1",11,10.1,10.1,1.73333333333333,0.333333333333333,9.00000000000002,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-03-22","mating",12542,"M","KL","13.7",14.9,2,"capital","L.6",15,12.6,13.7,1.73333333333333,0.333333333333333,33.1360830515618,TRUE,FALSE,"cone",0,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-03-22","mating",12542,"M","KL","13.7",14.9,2,"capital","M.7",14.9,13.7,13.7,1.73333333333333,0.333333333333333,0,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-03-23","mating",12564,"M","KL","-4.7",11.8,4,"capital","-5.0",12,-5,-4.7,1.73333333333333,0.333333333333333,10.816653826392,TRUE,TRUE,"mushroom/truffle",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-03-23","mating",12565,"M","KL","-3.2",10.2,2,"capital","-3.0",10,-3,-3.2,1.73333333333333,0.333333333333333,8.48528137423856,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-03-23","mating",12576,"M","KL","-0.1",5.6,4,"capital","0.0",5,0,-0.1,1.73333333333333,0.333333333333333,18.2482875908946,TRUE,FALSE,"mushroom/truffle",0,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-03-23","mating",12657,"M","KL","11.0",5.9,2,"capital","K.0",6.2,11,11,1.73333333333333,0.333333333333333,9,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-03-24","mating",12657,"M","KL","11.2",6,2,"capital","K.0",6.2,11,11.2,1.73333333333333,0.333333333333333,8.48528137423856,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-03-22","mating",12657,"M","KL","11.0",5.8,2,"capital","K.0",6.2,11,11,1.73333333333333,0.333333333333333,12,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-03-24","mating",12825,"M","KL","6.8",5.2,4,"capital","G.0",5,7,6.8,1.73333333333333,0.333333333333333,8.48528137423858,TRUE,TRUE,"mushroom/truffle",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-03-22","mating",13048,"M","KL","3.2",2.4,2,"capital","C.0",2.5,3,3.2,1.73333333333333,0.333333333333333,6.70820393249937,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-03-22","mating",13048,"M","KL","3.1",2.4,2,"capital","C.0",2.5,3,3.1,1.73333333333333,0.333333333333333,4.24264068711929,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-03-22","mating",13179,"M","KL","13.9",8.4,2,"capital","N.0",8.7,14,13.9,1.73333333333333,0.333333333333333,9.4868329805051,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-03-23","mating",13179,"M","KL","13.9",8.5,4,"capital","N.0",8.7,14,13.9,1.73333333333333,0.333333333333333,6.70820393249935,TRUE,TRUE,"mushroom/truffle",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-03-23","mating",13179,"M","KL","13.9",8.6,4,"capital","N.0",8.7,14,13.9,1.73333333333333,0.333333333333333,4.24264068711927,TRUE,TRUE,"mushroom/truffle",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-17","mating",12613,"M","KL","-7.3",9.1,4,"capital","-7.5",9.2,-7.5,-7.3,1.73333333333333,0.333333333333333,6.70820393249937,TRUE,TRUE,"mushroom/truffle",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-17","mating",12613,"M","KL","-7.3",9.1,4,"capital","-6.7",9,-6.7,-7.3,1.73333333333333,0.333333333333333,18.2482875908946,TRUE,FALSE,"mushroom/truffle",0,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-03-24","mating",11266,"M","KL","7.1",10.5,2,"capital","G.1",10.5,7.1,7.1,1.73333333333333,0.333333333333333,0,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-03-25","mating",11460,"M","KL","8.7",3.4,2,"capital","H.7",3.4,8.7,8.7,1.73333333333333,0.333333333333333,0,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-20","mating",13205,"M","JO","9.1",10.3,4,"capital","I.2",10,9.2,9.1,1.73333333333333,0.333333333333333,9.48683298050515,TRUE,TRUE,"mushroom/truffle",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-20","mating",13205,"M","JO","9.1",10.3,4,"capital","I.0",10.5,9,9.1,1.73333333333333,0.333333333333333,6.70820393249935,TRUE,TRUE,"mushroom/truffle",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-21","mating",11902,"M","JO","2.3",4.9,4,"capital","B.3",4.7,2.3,2.3,1.73333333333333,0.333333333333333,6,TRUE,TRUE,"mushroom/truffle",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-21","mating",11902,"M","JO","2.3",4.9,4,"capital","B.4",5.8,2.4,2.3,1.73333333333333,0.333333333333333,27.1661554144122,TRUE,FALSE,"mushroom/truffle",0,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-22","mating",13123,"M","KL","-6.0",11,2,"capital","-5.9",11.3,-5.9,-6,1.73333333333333,0.333333333333333,9.48683298050515,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-03-27","mating",11460,"M","KL","8.8",3.5,2,"capital","H.7",3.4,8.7,8.8,1.73333333333333,0.333333333333333,4.24264068711932,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-03-26","mating",11460,"M","KL","8.7",3.2,2,"capital","H.7",3.4,8.7,8.7,1.73333333333333,0.333333333333333,5.99999999999999,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-03-26","mating",12364,"M","KL","10.1",11.4,2,"capital","J.1",11,10.1,10.1,1.73333333333333,0.333333333333333,12,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-03-30","mating",12364,"M","KL","10.3",11.4,2,"capital","J.1",11,10.1,10.3,1.73333333333333,0.333333333333333,13.4164078649988,TRUE,FALSE,"cone",0,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-03-30","mating",12445,"M","KL","9.5",4.9,4,"capital","I.2",4.9,9.2,9.5,1.73333333333333,0.333333333333333,9.00000000000002,TRUE,TRUE,"mushroom/truffle",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-03-27","mating",12542,"M","KL","13.8",14.8,2,"capital","L.6",15,12.6,13.8,1.73333333333333,0.333333333333333,36.4965751817893,TRUE,FALSE,"cone",0,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-03-27","mating",12542,"M","KL","13.8",14.8,2,"capital","M.7",14.9,13.7,13.8,1.73333333333333,0.333333333333333,4.24264068711931,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-03-30","mating",12542,"M","KL","13.7",14.9,2,"capital","L.6",15,12.6,13.7,1.73333333333333,0.333333333333333,33.1360830515618,TRUE,FALSE,"cone",0,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-03-30","mating",12542,"M","KL","13.7",14.9,2,"capital","M.7",14.9,13.7,13.7,1.73333333333333,0.333333333333333,0,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-03-30","mating",12564,"M","KL","-4.7",11.8,2,"capital","-5.0",12,-5,-4.7,1.73333333333333,0.333333333333333,10.816653826392,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-03-30","mating",12565,"M","KL","-3.3",10.4,2,"capital","-3.0",10,-3,-3.3,1.73333333333333,0.333333333333333,15,TRUE,FALSE,"cone",0,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-03-29","mating",12565,"M","KL","-3.2",10.2,2,"capital","-3.0",10,-3,-3.2,1.73333333333333,0.333333333333333,8.48528137423856,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-03-27","mating",12657,"M","KL","11.1",5.9,2,"capital","K.0",6.2,11,11.1,1.73333333333333,0.333333333333333,9.48683298050513,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-03-26","mating",12657,"M","KL","11.0",5.8,4,"capital","K.0",6.2,11,11,1.73333333333333,0.333333333333333,12,TRUE,TRUE,"mushroom/truffle",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-03-26","mating",12678,"M","KL","2.6",10.4,2,"capital","B.6",10.5,2.6,2.6,1.73333333333333,0.333333333333333,2.99999999999999,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-03-30","mating",12705,"M","KL","8.2",12.2,2,"capital","H.0",12,8,8.2,1.73333333333333,0.333333333333333,8.48528137423854,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-03-26","mating",12825,"M","KL","6.9",5.3,2,"capital","G.0",5,7,6.9,1.73333333333333,0.333333333333333,9.48683298050513,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-03-26","mating",13039,"M","KL","7.1",3.6,2,"capital","G.0",3.5,7,7.1,1.73333333333333,0.333333333333333,4.24264068711928,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-03-26","mating",13048,"M","KL","3.2",2.5,2,"capital","C.0",2.5,3,3.2,1.73333333333333,0.333333333333333,6,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-03-26","mating",13125,"M","KL","12.5",16.9,2,"capital","K.8",17,11.8,12.5,1.73333333333333,0.333333333333333,21.2132034355964,TRUE,FALSE,"cone",0,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-03-26","mating",13125,"M","KL","12.5",16.9,2,"capital","L.3",16.8,12.3,12.5,1.73333333333333,0.333333333333333,6.70820393249932,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-03-31","mating",12364,"M","KL","10.3",11.3,2,"capital","J.1",11,10.1,10.3,1.73333333333333,0.333333333333333,10.816653826392,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-02","mating",13039,"M","KL","7.4",3.2,2,"capital","G.0",3.5,7,7.4,1.73333333333333,0.333333333333333,15,TRUE,FALSE,"cone",0,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-02","mating",13048,"M","KL","3.2",2.4,2,"capital","C.0",2.5,3,3.2,1.73333333333333,0.333333333333333,6.70820393249937,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-02","mating",12908,"M","KL","3.6",19.1,2,"capital","C.5",19,3.5,3.6,1.73333333333333,0.333333333333333,4.24264068711932,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-02","mating",12705,"M","KL","8.0",12.1,2,"capital","H.0",12,8,8,1.73333333333333,0.333333333333333,2.99999999999999,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-03","mating",12565,"M","KL","-3.2",10.1,2,"capital","-3.0",10,-3,-3.2,1.73333333333333,0.333333333333333,6.70820393249937,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-03","mating",12576,"M","KL","0.0",5.1,4,"capital","0.0",5,0,0,1.73333333333333,0.333333333333333,2.99999999999999,TRUE,TRUE,"mushroom/truffle",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-03","mating",12705,"M","KL","8.2",12,4,"capital","H.0",12,8,8.2,1.73333333333333,0.333333333333333,5.99999999999998,TRUE,TRUE,"mushroom/truffle",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-03","mating",12705,"M","KL","8.0",12.1,2,"capital","H.0",12,8,8,1.73333333333333,0.333333333333333,2.99999999999999,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-03","mating",12209,"M","KL","-7.1",11.1,2,"capital","-7.0",11,-7,-7.1,1.73333333333333,0.333333333333333,4.24264068711927,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-05","mating",12825,"M","KL","6.8",5.4,2,"capital","G.0",5,7,6.8,1.73333333333333,0.333333333333333,13.4164078649987,TRUE,FALSE,"cone",0,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-05","mating",12825,"M","KL","6.8",5.2,2,"capital","G.0",5,7,6.8,1.73333333333333,0.333333333333333,8.48528137423858,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-05","mating",12017,"M","KL","5.1",1.1,2,"capital","E.0",1.3,5,5.1,1.73333333333333,0.333333333333333,6.70820393249936,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-05","mating",11983,"M","KL","10.4",19.3,2,"capital","J.7",19,10.7,10.4,1.73333333333333,0.333333333333333,12.7279220613578,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-05","mating",11983,"M","KL","10.3",18.9,2,"capital","J.7",19,10.7,10.3,1.73333333333333,0.333333333333333,12.369316876853,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-05","mating",12542,"M","KL","13.8",15,2,"capital","L.6",15,12.6,13.8,1.73333333333333,0.333333333333333,36,TRUE,FALSE,"cone",0,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-05","mating",12542,"M","KL","13.8",15,2,"capital","M.7",14.9,13.7,13.8,1.73333333333333,0.333333333333333,4.24264068711931,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-05","mating",11460,"M","KL","9.1",3,4,"capital","H.7",3.4,8.7,9.1,1.73333333333333,0.333333333333333,16.9705627484771,TRUE,FALSE,"mushroom/truffle",0,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-05","mating",12445,"M","KL","9.2",5,4,"capital","I.2",4.9,9.2,9.2,1.73333333333333,0.333333333333333,2.99999999999999,TRUE,TRUE,"mushroom/truffle",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-06","mating",12209,"M","KL","-7.1",11.1,2,"capital","-7.0",11,-7,-7.1,1.73333333333333,0.333333333333333,4.24264068711927,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-06","mating",12830,"M","KL","-2.6",12.4,2,"capital","-2.5",12.9,-2.5,-2.6,1.73333333333333,0.333333333333333,15.2970585407784,TRUE,FALSE,"cone",0,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-06","mating",12565,"M","KL","-3.2",10.2,2,"capital","-3.0",10,-3,-3.2,1.73333333333333,0.333333333333333,8.48528137423856,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-06","mating",12705,"M","KL","8.1",12.1,2,"capital","H.0",12,8,8.1,1.73333333333333,0.333333333333333,4.24264068711927,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-06","mating",12705,"M","KL","7.5",12.3,4,"capital","H.0",12,8,7.5,1.73333333333333,0.333333333333333,17.4928556845359,TRUE,FALSE,"mushroom/truffle",0,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-06","mating",12363,"M","KL","8.2",14.7,2,"capital","H.0",15,8,8.2,1.73333333333333,0.333333333333333,10.816653826392,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-07","mating",11983,"M","KL","10.5",18.9,2,"capital","J.7",19,10.7,10.5,1.73333333333333,0.333333333333333,6.70820393249937,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-07","mating",13179,"M","KL","13.9",8.7,2,"capital","N.0",8.7,14,13.9,1.73333333333333,0.333333333333333,2.99999999999999,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-07","mating",12657,"M","KL","11.0",5.9,2,"capital","K.0",6.2,11,11,1.73333333333333,0.333333333333333,9,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-07","mating",13048,"M","KL","3.0",2.4,2,"capital","C.0",2.5,3,3,1.73333333333333,0.333333333333333,3,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-07","mating",12705,"M","KL","8.2",12.2,2,"capital","H.0",12,8,8.2,1.73333333333333,0.333333333333333,8.48528137423854,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-23","mating",11595,"M","JO","17.0",9,2,"capital","P.9",9,16.9,17,1.73333333333333,0.333333333333333,3.00000000000004,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-23","mating",12114,"M","JO","15.7",1.8,4,"capital","O.4",1.4,15.4,15.7,1.73333333333333,0.333333333333333,15,TRUE,FALSE,"mushroom/truffle",0,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-23","mating",11621,"M","KL","6.0",18.4,2,"capital","F.0",18.6,6,6,1.73333333333333,0.333333333333333,6.00000000000009,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-23","mating",12678,"M","KL","2.7",10.8,4,"capital","B.6",10.5,2.6,2.7,1.73333333333333,0.333333333333333,9.48683298050516,TRUE,TRUE,"mushroom/truffle",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-23","mating",12705,"M","KL","4.6",14.5,4,"capital","E.0",14.6,5,4.6,1.73333333333333,0.333333333333333,12.369316876853,TRUE,TRUE,"mushroom/truffle",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-08","mating",11945,"M","KL","14.1",1.4,2,"capital","N.1",1.3,14.1,14.1,1.73333333333333,0.333333333333333,3,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-08","mating",13039,"M","KL","6.9",3.4,2,"capital","G.0",3.5,7,6.9,1.73333333333333,0.333333333333333,4.24264068711928,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-08","mating",12825,"M","KL","6.9",5.2,2,"capital","G.0",5,7,6.9,1.73333333333333,0.333333333333333,6.70820393249937,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-08","mating",12825,"M","KL","7.0",5.1,2,"capital","G.0",5,7,7,1.73333333333333,0.333333333333333,2.99999999999999,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-08","mating",11460,"M","KL","8.7",3.4,2,"capital","H.7",3.4,8.7,8.7,1.73333333333333,0.333333333333333,0,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-08","mating",12657,"M","KL","10.8",6,4,"capital","K.0",6.2,11,10.8,1.73333333333333,0.333333333333333,8.48528137423856,TRUE,TRUE,"mushroom/truffle",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-08","mating",12017,"M","KL","5.1",1.1,2,"capital","E.0",1.3,5,5.1,1.73333333333333,0.333333333333333,6.70820393249936,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-08","mating",11983,"M","KL","10.4",18.9,2,"capital","J.7",19,10.7,10.4,1.73333333333333,0.333333333333333,9.48683298050512,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-10","mating",11460,"M","KL","8.6",3.5,2,"capital","H.7",3.4,8.7,8.6,1.73333333333333,0.333333333333333,4.24264068711928,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-10","mating",12445,"M","KL","9.2",5,2,"capital","I.2",4.9,9.2,9.2,1.73333333333333,0.333333333333333,2.99999999999999,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-10","mating",12445,"M","KL","9.6",4.9,2,"capital","I.2",4.9,9.2,9.6,1.73333333333333,0.333333333333333,12,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-10","mating",12657,"M","KL","11.1",6.3,4,"capital","K.0",6.2,11,11.1,1.73333333333333,0.333333333333333,4.24264068711927,TRUE,TRUE,"mushroom/truffle",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-10","mating",13039,"M","KL","7.1",3.5,2,"capital","G.0",3.5,7,7.1,1.73333333333333,0.333333333333333,2.99999999999999,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-12","mating",12705,"M","KL","4.7",14.5,2,"capital","E.0",14.6,5,4.7,1.73333333333333,0.333333333333333,9.48683298050513,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-12","mating",12908,"M","KL","3.7",19.1,4,"capital","C.5",19,3.5,3.7,1.73333333333333,0.333333333333333,6.70820393249939,TRUE,TRUE,"mushroom/truffle",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
2013,"non-mast","2013-04-12","mating",12908,"M","KL","3.7",19,2,"capital","C.5",19,3.5,3.7,1.73333333333333,0.333333333333333,6,TRUE,TRUE,"cone",1,2012,26.7,1.795114313,0.191642117616926,-0.12463475412953
